DateTime,Time Since Epoch,Temperature,Dew Point,Humidity,Wind Speed,Precip.
2016-01-02 01:51:00,1451699460,36,16.0,44.0,13.0,0.0
2016-01-02 02:51:00,1451703060,36,17.0,46.0,20.0,0.0
2016-01-02 03:51:00,1451706660,36,18.0,48.0,14.0,0.0
2016-01-02 04:51:00,1451710260,36,19.0,50.0,18.0,0.0
2016-01-02 05:51:00,1451713860,35,20.0,54.0,18.0,0.0
2016-01-02 06:51:00,1451717460,35,20.0,54.0,18.0,0.0
2016-01-02 07:51:00,1451721060,35,20.0,54.0,12.0,0.0
2016-01-02 08:51:00,1451724660,35,20.0,54.0,8.0,0.0
2016-01-02 09:51:00,1451728260,35,18.0,50.0,9.0,0.0
2016-01-02 10:51:00,1451731860,36,18.0,48.0,13.0,0.0
2016-01-02 11:51:00,1451735460,37,18.0,46.0,14.0,0.0
2016-01-02 12:51:00,1451739060,38,20.0,48.0,15.0,0.0
2016-01-02 13:51:00,1451742660,40,19.0,43.0,7.0,0.0
2016-01-02 14:51:00,1451746260,40,20.0,45.0,12.0,0.0
2016-01-02 15:51:00,1451749860,40,20.0,45.0,10.0,0.0
2016-01-02 16:51:00,1451753460,40,20.0,45.0,12.0,0.0
2016-01-02 17:51:00,1451757060,41,21.0,45.0,18.0,0.0
2016-01-02 18:51:00,1451760660,39,19.0,45.0,16.0,0.0
2016-01-02 19:51:00,1451764260,38,20.0,48.0,8.0,0.0
2016-01-02 20:51:00,1451767860,37,19.0,48.0,7.0,0.0
2016-01-02 21:51:00,1451771460,37,19.0,48.0,7.0,0.0
2016-01-02 22:51:00,1451775060,37,20.0,50.0,12.0,0.0
2016-01-02 23:51:00,1451778660,37,20.0,50.0,10.0,0.0
2016-01-03 01:51:00,1451785860,37,21.0,52.0,9.0,0.0
2016-01-03 02:51:00,1451789460,37,21.0,52.0,12.0,0.0
2016-01-03 03:51:00,1451793060,36,22.0,57.0,8.0,0.0
2016-01-03 04:51:00,1451796660,37,22.0,54.0,9.0,0.0
2016-01-03 05:51:00,1451800260,37,21.0,52.0,13.0,0.0
2016-01-03 06:51:00,1451803860,37,23.0,57.0,9.0,0.0
2016-01-03 07:51:00,1451807460,38,22.0,53.0,10.0,0.0
2016-01-03 08:51:00,1451811060,38,23.0,55.0,9.0,0.0
2016-01-03 09:51:00,1451814660,41,22.0,47.0,16.0,0.0
2016-01-03 10:51:00,1451818260,43,22.0,43.0,13.0,0.0
2016-01-03 11:51:00,1451821860,45,21.0,39.0,12.0,0.0
2016-01-03 12:51:00,1451825460,46,20.0,35.0,15.0,0.0
2016-01-03 13:51:00,1451829060,46,22.0,39.0,17.0,0.0
2016-01-03 14:51:00,1451832660,45,23.0,42.0,17.0,0.0
2016-01-03 15:51:00,1451836260,44,25.0,47.0,16.0,0.0
2016-01-03 16:51:00,1451839860,43,22.0,43.0,15.0,0.0
2016-01-03 17:51:00,1451843460,43,23.0,45.0,9.0,0.0
2016-01-03 18:51:00,1451847060,43,24.0,47.0,9.0,0.0
2016-01-03 19:51:00,1451850660,42,23.0,47.0,12.0,0.0
2016-01-03 20:51:00,1451854260,40,24.0,53.0,14.0,0.0
2016-01-03 21:51:00,1451857860,40,24.0,53.0,13.0,0.0
2016-01-03 22:51:00,1451861460,39,25.0,57.0,10.0,0.0
2016-01-03 23:51:00,1451865060,39,25.0,57.0,13.0,0.0
2016-01-04 01:51:00,1451872260,38,25.0,60.0,16.0,0.0
2016-01-04 02:51:00,1451875860,38,25.0,60.0,13.0,0.0
2016-01-04 03:51:00,1451879460,37,21.0,52.0,23.0,0.0
2016-01-04 04:51:00,1451883060,36,19.0,50.0,18.0,0.0
2016-01-04 05:51:00,1451886660,35,18.0,50.0,13.0,0.0
2016-01-04 06:51:00,1451890260,33,19.0,56.0,16.0,0.0
2016-01-04 07:51:00,1451893860,32,19.0,59.0,14.0,0.0
2016-01-04 08:51:00,1451897460,31,18.0,59.0,18.0,0.0
2016-01-04 09:51:00,1451901060,31,17.0,57.0,15.0,0.0
2016-01-04 10:51:00,1451904660,31,15.0,52.0,18.0,0.0
2016-01-04 11:51:00,1451908260,30,12.0,47.0,17.0,0.0
2016-01-04 12:51:00,1451911860,31,11.0,43.0,17.0,0.0
2016-01-04 13:51:00,1451915460,31,9.0,40.0,15.0,0.0
