DateTime,Time Since Epoch,Temperature,Dew Point,Humidity,Wind Speed,Precip.
2020-01-02 01:51:00,1577929860,36,18.0,48.0,9.0,0.0
2020-01-02 02:51:00,1577933460,36,19.0,50.0,12.0,0.0
2020-01-02 03:51:00,1577937060,34,20.0,56.0,8.0,0.0
2020-01-02 04:51:00,1577940660,35,20.0,54.0,9.0,0.0
2020-01-02 05:51:00,1577944260,35,21.0,57.0,8.0,0.0
2020-01-02 06:51:00,1577947860,35,21.0,57.0,8.0,0.0
2020-01-02 07:51:00,1577951460,35,21.0,57.0,9.0,0.0
2020-01-02 08:51:00,1577955060,36,22.0,57.0,3.0,0.0
2020-01-02 09:51:00,1577958660,38,22.0,53.0,6.0,0.0
2020-01-02 10:51:00,1577962260,42,23.0,47.0,10.0,0.0
2020-01-02 11:51:00,1577965860,43,23.0,45.0,9.0,0.0
2020-01-02 12:51:00,1577969460,45,23.0,42.0,12.0,0.0
2020-01-02 13:51:00,1577973060,46,23.0,40.0,12.0,0.0
2020-01-02 14:51:00,1577976660,48,23.0,37.0,12.0,0.0
2020-01-02 15:51:00,1577980260,49,23.0,36.0,12.0,0.0
2020-01-02 16:51:00,1577983860,48,28.0,46.0,7.0,0.0
2020-01-02 17:51:00,1577987460,47,32.0,56.0,6.0,0.0
2020-01-02 18:51:00,1577991060,48,29.0,48.0,9.0,0.0
2020-01-02 19:51:00,1577994660,46,33.0,61.0,7.0,0.0
2020-01-02 21:51:00,1578001860,47,31.0,54.0,7.0,0.0
2020-01-02 22:51:00,1578005460,46,32.0,58.0,5.0,0.0
2020-01-02 23:51:00,1578009060,46,32.0,58.0,6.0,0.0
2020-01-02 00:51:00,1577926260,47,33.0,59.0,6.0,0.0
2020-01-03 01:51:00,1578016260,47,33.0,59.0,6.0,0.0
2020-01-03 02:51:00,1578019860,47,34.0,61.0,7.0,0.0
2020-01-03 03:51:00,1578023460,48,34.0,58.0,8.0,0.0
2020-01-03 04:51:00,1578027060,47,35.0,63.0,6.0,0.0
2020-01-03 05:51:00,1578030660,46,37.0,71.0,5.0,0.0
2020-01-03 06:51:00,1578034260,45,38.0,76.0,8.0,0.0
2020-01-03 07:51:00,1578037860,46,39.0,76.0,6.0,0.0
2020-01-03 08:51:00,1578041460,45,40.0,82.0,7.0,0.0
2020-01-03 08:59:00,1578041940,45,40.0,82.0,8.0,0.0
2020-01-03 09:51:00,1578045060,46,41.0,83.0,8.0,0.0
2020-01-03 10:04:00,1578045840,45,41.0,86.0,7.0,0.0
2020-01-03 10:13:00,1578046380,45,41.0,86.0,7.0,0.0
2020-01-03 10:51:00,1578048660,45,42.0,90.0,7.0,0.0
2020-01-03 11:39:00,1578051540,45,42.0,90.0,3.0,0.0
2020-01-03 11:51:00,1578052260,45,42.0,90.0,0.0,0.0
2020-01-03 12:07:00,1578053220,46,43.0,89.0,5.0,0.0
2020-01-03 12:29:00,1578054540,46,43.0,89.0,7.0,0.0
