DateTime,Time Since Epoch,Temperature,Dew Point,Humidity,Wind Speed,Precip.
2006-01-02 00:51:00,1136163060,42,0.0,67.0,6.0,0.0
2006-01-02 01:51:00,1136166660,42,31.0,65.0,5.0,0.0
2006-01-02 02:51:00,1136170260,41,31.0,67.0,5.0,0.0
2006-01-02 03:51:00,1136173860,40,0.0,73.0,3.0,0.0
2006-01-02 04:51:00,1136177460,41,0.0,70.0,3.0,0.0
2006-01-02 05:51:00,1136181060,41,0.0,70.0,0.0,0.0
2006-01-02 06:51:00,1136184660,41,0.0,70.0,0.0,0.0
2006-01-02 07:51:00,1136188260,41,0.0,70.0,0.0,0.0
2006-01-02 08:51:00,1136191860,41,33.0,73.0,0.0,0.0
2006-01-02 09:51:00,1136195460,43,0.0,65.0,5.0,0.0
2006-01-02 10:51:00,1136199060,44,31.0,60.0,5.0,0.0
2006-01-02 11:51:00,1136202660,45,31.0,58.0,6.0,0.0
2006-01-02 12:51:00,1136206260,45,30.0,56.0,8.0,0.0
2006-01-02 13:51:00,1136209860,46,30.0,54.0,0.0,0.0
2006-01-02 14:51:00,1136213460,46,31.0,56.0,5.0,0.0
2006-01-02 15:51:00,1136217060,43,36.0,76.0,10.0,0.0
2006-01-02 16:51:00,1136220660,42,37.0,82.0,10.0,0.0
2006-01-02 17:31:00,1136223060,43,37.0,81.0,7.0,0.0
2006-01-02 17:51:00,1136224260,45,35.0,68.0,9.0,0.1
2006-01-02 18:51:00,1136227860,42,36.0,79.0,9.0,0.1
2006-01-02 19:51:00,1136231460,42,36.0,79.0,13.0,0.1
2006-01-02 20:51:00,1136235060,41,37.0,86.0,12.0,0.1
2006-01-02 21:51:00,1136238660,41,37.0,86.0,12.0,0.1
2006-01-03 00:51:00,1136249460,41,38.0,89.0,18.0,0.1
2006-01-03 01:51:00,1136253060,41,38.0,89.0,20.0,0.1
2006-01-03 02:38:00,1136255880,41,37.0,87.0,22.0,0.1
2006-01-03 02:51:00,1136256660,41,37.0,87.0,23.0,0.0
2006-01-03 03:51:00,1136260260,40,37.0,89.0,25.0,0.2
2006-01-03 03:58:00,1136260680,39,37.0,93.0,24.0,0.0
2006-01-03 04:18:00,1136261880,39,36.0,87.0,29.0,0.1
2006-01-03 04:51:00,1136263860,39,36.0,89.0,28.0,0.1
2006-01-03 05:51:00,1136267460,39,36.0,89.0,29.0,0.1
2006-01-03 06:24:00,1136269440,39,36.0,87.0,29.0,0.0
2006-01-03 06:51:00,1136271060,38,35.0,89.0,24.0,0.1
2006-01-03 07:13:00,1136272380,37,36.0,93.0,24.0,0.0
2006-01-03 07:51:00,1136274660,37,34.0,89.0,24.0,0.0
2006-01-03 08:51:00,1136278260,37,34.0,89.0,24.0,0.0
2006-01-03 09:51:00,1136281860,39,35.0,86.0,25.0,0.0
2006-01-03 10:09:00,1136282940,37,34.0,87.0,23.0,0.0
2006-01-03 10:51:00,1136285460,38,35.0,89.0,21.0,0.0
2006-01-03 11:51:00,1136289060,39,34.0,81.0,23.0,0.0
2006-01-03 12:05:00,1136289900,39,34.0,81.0,20.0,0.0
