DateTime,Time Since Epoch,Temperature,Dew Point,Humidity,Wind Speed,Precip.
2022-01-02 01:51:00,1641088260,50,48.0,93.0,8.0,0.0
2022-01-02 02:51:00,1641091860,49,47.0,93.0,0.0,0.0
2022-01-02 03:51:00,1641095460,50,47.0,89.0,10.0,0.0
2022-01-02 04:51:00,1641099060,52,50.0,93.0,7.0,0.0
2022-01-02 05:51:00,1641102660,53,51.0,93.0,0.0,0.0
2022-01-02 06:51:00,1641106260,51,48.0,89.0,7.0,0.0
2022-01-02 07:51:00,1641109860,52,50.0,93.0,0.0,0.0
2022-01-02 07:59:00,1641110340,53,50.0,89.0,3.0,0.0
2022-01-02 08:51:00,1641113460,52,50.0,93.0,0.0,0.0
2022-01-02 09:51:00,1641117060,54,51.0,90.0,7.0,0.0
2022-01-02 10:51:00,1641120660,54,51.0,90.0,8.0,0.0
2022-01-02 10:53:00,1641120780,54,52.0,93.0,8.0,0.0
2022-01-02 11:25:00,1641122700,54,52.0,94.0,9.0,0.0
2022-01-02 11:51:00,1641124260,54,51.0,90.0,9.0,0.0
2022-01-02 12:51:00,1641127860,55,51.0,86.0,10.0,0.0
2022-01-02 13:45:00,1641131100,57,52.0,82.0,15.0,0.0
2022-01-02 13:51:00,1641131460,58,51.0,78.0,13.0,0.0
2022-01-02 14:51:00,1641135060,60,50.0,69.0,10.0,0.0
2022-01-02 15:51:00,1641138660,54,47.0,77.0,13.0,0.0
2022-01-02 16:02:00,1641139320,52,45.0,77.0,7.0,0.0
2022-01-02 16:51:00,1641142260,51,44.0,77.0,7.0,0.0
2022-01-02 17:51:00,1641145860,51,43.0,74.0,14.0,0.0
2022-01-02 18:51:00,1641149460,50,39.0,66.0,18.0,0.0
2022-01-03 01:51:00,1641174660,39,27.0,62.0,10.0,0.0
2022-01-03 02:51:00,1641178260,38,26.0,62.0,12.0,0.0
2022-01-03 03:51:00,1641181860,37,24.0,59.0,12.0,0.0
2022-01-03 04:51:00,1641185460,35,20.0,54.0,17.0,0.0
2022-01-03 05:51:00,1641189060,34,19.0,54.0,10.0,0.0
2022-01-03 06:51:00,1641192660,34,19.0,54.0,12.0,0.0
2022-01-03 07:51:00,1641196260,33,20.0,59.0,14.0,0.0
2022-01-03 08:51:00,1641199860,32,9.0,38.0,20.0,0.0
2022-01-03 09:51:00,1641203460,31,8.0,38.0,16.0,0.0
2022-01-03 10:51:00,1641207060,31,10.0,42.0,16.0,0.0
2022-01-03 11:51:00,1641210660,30,10.0,43.0,13.0,0.0
2022-01-03 12:51:00,1641214260,30,8.0,40.0,13.0,0.0
2022-01-03 13:51:00,1641217860,30,9.0,41.0,14.0,0.0
2022-01-03 14:51:00,1641221460,30,11.0,45.0,16.0,0.0
2022-01-03 15:51:00,1641225060,29,14.0,54.0,16.0,0.0
2022-01-03 16:51:00,1641228660,29,15.0,56.0,15.0,0.0
2022-01-03 17:51:00,1641232260,29,12.0,49.0,20.0,0.0
2022-01-03 18:51:00,1641235860,28,9.0,45.0,17.0,0.0
2022-01-03 19:51:00,1641239460,28,7.0,41.0,15.0,0.0
2022-01-03 20:51:00,1641243060,27,5.0,39.0,13.0,0.0
2022-01-03 21:51:00,1641246660,26,8.0,47.0,14.0,0.0
2022-01-03 22:51:00,1641250260,26,12.0,55.0,14.0,0.0
2022-01-03 23:51:00,1641253860,25,12.0,58.0,17.0,0.0
2022-01-04 01:51:00,1641261060,24,12.0,60.0,14.0,0.0
2022-01-04 02:51:00,1641264660,23,11.0,60.0,15.0,0.0
2022-01-04 03:51:00,1641268260,23,9.0,55.0,15.0,0.0
2022-01-04 04:51:00,1641271860,22,8.0,55.0,14.0,0.0
2022-01-04 05:51:00,1641275460,22,8.0,55.0,15.0,0.0
2022-01-04 06:51:00,1641279060,21,8.0,57.0,14.0,0.0
2022-01-04 07:51:00,1641282660,21,8.0,57.0,15.0,0.0
2022-01-04 08:51:00,1641286260,22,8.0,55.0,9.0,0.0
2022-01-04 09:51:00,1641289860,23,8.0,53.0,6.0,0.0
2022-01-04 10:51:00,1641293460,26,9.0,49.0,3.0,0.0
