Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,900845,-,-,-,41.77,-87.74,-6,189,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Pressure,Wind Speed
2009,1,1,0,30,-8,78.01,-11.200000000000001,1002,4
2009,1,1,1,30,-7.9,79.41,-10.8,1001,4.6000000000000005
2009,1,1,2,30,-7.7,80.54,-10.5,1001,5.1000000000000005
2009,1,1,3,30,-7.4,80.83,-10.100000000000001,1000,5.300000000000001
2009,1,1,4,30,-7.300000000000001,82,-9.8,999,5.6000000000000005
2009,1,1,5,30,-7.1000000000000005,82.12,-9.600000000000001,999,5.9
2009,1,1,6,30,-6.800000000000001,81.97,-9.4,998,6.300000000000001
2009,1,1,7,30,-6.300000000000001,80.65,-9.1,997,6.7
2009,1,1,8,30,-5.300000000000001,76.81,-8.700000000000001,997,7.2
2009,1,1,9,30,-4.2,72.33,-8.4,996,7.6000000000000005
2009,1,1,10,30,-3,67.87,-8.1,995,7.800000000000001
2009,1,1,11,30,-1.9000000000000001,64.22,-7.800000000000001,993,7.800000000000001
2009,1,1,12,30,-1.1,62.53,-7.300000000000001,991,7.7
2009,1,1,13,30,-0.7000000000000001,63.13,-6.800000000000001,990,7.1000000000000005
2009,1,1,14,30,-0.7000000000000001,66.46000000000001,-6.2,989,6.5
2009,1,1,15,30,-0.9,71.11,-5.5,989,6
2009,1,1,16,30,-1.2000000000000002,75.3,-5,988,5.800000000000001
2009,1,1,17,30,-1.3,78.45,-4.6000000000000005,988,5.800000000000001
2009,1,1,18,30,-1.6,82.62,-4.2,987,5.7
2009,1,1,19,30,-1.8,85.48,-3.9000000000000004,986,5.6000000000000005
2009,1,1,20,30,-2.1,88.16,-3.8000000000000003,985,5.6000000000000005
2009,1,1,21,30,-2.5,91.44,-3.7,985,5.7
2009,1,1,22,30,-2.7,93.55,-3.6,985,6
2009,1,1,23,30,-2.9000000000000004,95.5,-3.5,985,6.1000000000000005
2009,1,2,0,30,-3.2,97.15,-3.6,985,6.1000000000000005
2009,1,2,1,30,-3.4000000000000004,96.23,-3.9000000000000004,985,6.2
2009,1,2,2,30,-3.5,95.05,-4.2,985,6.1000000000000005
2009,1,2,3,30,-3.4000000000000004,93.51,-4.3,985,6
2009,1,2,4,30,-3.3000000000000003,92.41,-4.4,986,6.1000000000000005
2009,1,2,5,30,-3.2,90.73,-4.5,987,6.2
2009,1,2,6,30,-3.5,89.14,-5,987,6.4
2009,1,2,7,30,-3.9000000000000004,82.67,-6.4,988,6.800000000000001
2009,1,2,8,30,-4.2,74.21000000000001,-8.1,989,6.7
