Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,900845,-,-,-,41.77,-87.74,-6,189,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Dew Point,Pressure,Wind Speed
2006,1,1,0,30,-2.5,97.97,-2.8000000000000003,989,2.4000000000000004
2006,1,1,1,30,-2.6,98.44,-2.8000000000000003,990,2.2
2006,1,1,2,30,-2.5,97.64,-2.8000000000000003,990,2
2006,1,1,3,30,-2.2,95.82000000000001,-2.8000000000000003,990,2.1
2006,1,1,4,30,-2,95.05,-2.7,990,2.7
2006,1,1,5,30,-1.6,93.73,-2.5,990,3.4000000000000004
2006,1,1,6,30,-1.1,92.35000000000001,-2.2,989,4.2
2006,1,1,7,30,-0.2,89.18,-1.8,989,5
2006,1,1,8,30,1,85.01,-1.2000000000000002,989,5.300000000000001
2006,1,1,9,30,2.4000000000000004,79.98,-0.7000000000000001,989,5.4
2006,1,1,10,30,3.5,76.23,-0.30000000000000004,988,5.5
2006,1,1,11,30,4.1000000000000005,74.61,0,987,5.5
2006,1,1,12,30,4.3,76.2,0.5,986,5.5
2006,1,1,13,30,4.2,79.13,0.9,986,5.4
2006,1,1,14,30,3.9000000000000004,82.46000000000001,1.2000000000000002,985,5.5
2006,1,1,15,30,3.8000000000000003,84.5,1.4000000000000001,985,5.800000000000001
2006,1,1,16,30,3.9000000000000004,85.83,1.7000000000000002,985,5.9
2006,1,1,17,30,3.9000000000000004,87.66,2,985,5.800000000000001
2006,1,1,18,30,3.8000000000000003,89.92,2.3000000000000003,985,5.5
2006,1,1,19,30,3.7,92.05,2.5,984,5.300000000000001
2006,1,1,20,30,3.7,93.87,2.8000000000000003,984,5
2006,1,1,21,30,3.9000000000000004,94.97,3.2,984,4.7
2006,1,1,22,30,4.1000000000000005,96.47,3.6,983,4.4
2006,1,1,23,30,4.2,98.79,4,982,4.1000000000000005
2006,1,2,0,30,4.3,100,4.3,982,3.8000000000000003
2006,1,2,1,30,4.5,100,4.5,982,3.5
2006,1,2,2,30,4.7,100,4.7,981,3.5
2006,1,2,3,30,4.7,100,4.7,981,3.6
2006,1,2,4,30,4.6000000000000005,100,4.6000000000000005,980,3.9000000000000004
2006,1,2,5,30,4.6000000000000005,100,4.6000000000000005,980,4.5
2006,1,2,6,30,4.800000000000001,100,4.800000000000001,979,5.1000000000000005
2006,1,2,7,30,4.9,100,4.9,979,5.6000000000000005
2006,1,2,8,30,5.1000000000000005,99.9,5.1000000000000005,979,5.800000000000001
2006,1,2,9,30,5.2,98.96000000000001,5,978,5.7
2006,1,2,10,30,5.4,97.9,5.1000000000000005,978,5.4
2006,1,2,11,30,5.800000000000001,97.02,5.4,977,4.5
2006,1,2,12,30,6.1000000000000005,98.51,5.9,977,3.7
2006,1,2,13,30,6.1000000000000005,100,6.1000000000000005,976,3.9000000000000004
2006,1,2,14,30,5.800000000000001,100,5.800000000000001,977,4.3
2006,1,2,15,30,5.300000000000001,100,5.300000000000001,978,4.5
2006,1,2,16,30,4.9,100,4.9,979,4.5
2006,1,2,17,30,4.7,100,4.7,980,4.4
2006,1,2,18,30,4.3,100,4.3,980,4.4
2006,1,2,19,30,4,100,4,981,4.5
2006,1,2,20,30,3.7,99.54,3.6,982,4.7
2006,1,2,21,30,3.6,97.79,3.3000000000000003,983,4.2
2006,1,2,22,30,3.6,96.53,3.1,984,3.9000000000000004
2006,1,2,23,30,3.6,95.67,3,984,4.5
2006,1,3,0,30,3.6,94.84,2.8000000000000003,985,5.300000000000001
2006,1,3,1,30,3.5,94.3,2.7,986,5.2
2006,1,3,2,30,3.4000000000000004,93.94,2.5,987,4.5
2006,1,3,3,30,3.1,95.19,2.4000000000000004,987,3.5
2006,1,3,4,30,2.9000000000000004,95.93,2.3000000000000003,988,2.9000000000000004
2006,1,3,5,30,2.9000000000000004,95.5,2.3000000000000003,989,2.6
2006,1,3,6,30,2.9000000000000004,95.21000000000001,2.2,990,2.5
2006,1,3,7,30,3.5,91.57000000000001,2.3000000000000003,990,2.6
2006,1,3,8,30,4.3,88.22,2.5,991,2.3000000000000003
2006,1,3,9,30,4.9,85.26,2.6,991,1.4000000000000001
2006,1,3,10,30,5.300000000000001,83.57000000000001,2.7,991,0.8
2006,1,3,11,30,5.5,83.47,2.9000000000000004,990,1.3
2006,1,3,12,30,5.5,84.92,3.2,990,1.9000000000000001
2006,1,3,13,30,5.300000000000001,87.46000000000001,3.4000000000000004,990,2.2
2006,1,3,14,30,4.9,91.25,3.6,991,1.6
2006,1,3,15,30,4.4,95.49,3.7,990,1.2000000000000002
2006,1,3,16,30,4.1000000000000005,96.06,3.5,990,1.3
2006,1,3,17,30,4,96.4,3.5,990,1.6
2006,1,3,18,30,4.1000000000000005,95.76,3.5,990,2.8000000000000003
2006,1,3,19,30,4,96.51,3.5,989,3.6
2006,1,3,20,30,4,96.62,3.5,989,4
2006,1,3,21,30,3.9000000000000004,97.08,3.5,988,3.9000000000000004
2006,1,3,22,30,3.9000000000000004,96.73,3.4000000000000004,988,3.8000000000000003
2006,1,3,23,30,3.9000000000000004,96.09,3.3000000000000003,987,3.8000000000000003
2006,1,4,0,30,3.9000000000000004,95.62,3.3000000000000003,987,3.8000000000000003
2006,1,4,1,30,4,94.95,3.3000000000000003,986,4
2006,1,4,2,30,4.1000000000000005,94.9,3.4000000000000004,985,4.5
2006,1,4,3,30,4.1000000000000005,95.99000000000001,3.5,983,4.7
2006,1,4,4,30,4,97.51,3.6,983,4.2
2006,1,4,5,30,3.9000000000000004,98.37,3.7,983,3.7
2006,1,4,6,30,3.8000000000000003,98.72,3.6,982,3.5
2006,1,4,7,30,3.8000000000000003,98.22,3.5,982,3.6
2006,1,4,8,30,3.9000000000000004,97.43,3.5,983,3.8000000000000003
2006,1,4,9,30,4.2,95.57000000000001,3.6,983,4.3
2006,1,4,10,30,4.7,92.62,3.6,983,5.1000000000000005
2006,1,4,11,30,5.300000000000001,87.65,3.4000000000000004,983,6.1000000000000005
2006,1,4,12,30,5.6000000000000005,80.77,2.6,984,6.6000000000000005
2006,1,4,13,30,5.7,75.06,1.6,984,6.7
2006,1,4,14,30,5.4,74.85000000000001,1.3,985,6.4
2006,1,4,15,30,4.7,78.67,1.3,986,6.4
2006,1,4,16,30,3.8000000000000003,83.04,1.2000000000000002,987,6.6000000000000005
2006,1,4,17,30,3.4000000000000004,83.58,0.9,988,6.6000000000000005
2006,1,4,18,30,2.4000000000000004,88.27,0.7000000000000001,988,6.4
2006,1,4,19,30,1.8,90.54,0.4,989,6.300000000000001
2006,1,4,20,30,1.2000000000000002,92.06,0.1,989,6.2
2006,1,4,21,30,0.7000000000000001,92.53,-0.4,989,6.300000000000001
2006,1,4,22,30,0.4,92.27,-0.7000000000000001,989,6.300000000000001
2006,1,4,23,30,0.2,92.19,-0.9,989,6
2006,1,5,0,30,0,93.14,-1,990,5.7
2006,1,5,1,30,-0.2,94.53,-1,990,5.5
2006,1,5,2,30,-0.2,94.78,-0.9,991,5.6000000000000005
2006,1,5,3,30,0,93.29,-1,991,5.800000000000001
2006,1,5,4,30,0.2,92.12,-0.9,991,5.800000000000001
2006,1,5,5,30,0.30000000000000004,91.75,-0.9,991,5.5
2006,1,5,6,30,0.4,91.12,-0.9,992,5.1000000000000005
2006,1,5,7,30,0.9,88.13,-0.8,993,5.2
2006,1,5,8,30,1.8,83.19,-0.7000000000000001,993,5.7
2006,1,5,9,30,2.5,77.65,-1,994,6.1000000000000005
2006,1,5,10,30,2.9000000000000004,72.59,-1.5,993,6.300000000000001
2006,1,5,11,30,2.9000000000000004,70.82000000000001,-1.9000000000000001,993,6.300000000000001
2006,1,5,12,30,2.9000000000000004,69.01,-2.2,993,6.4
2006,1,5,13,30,2.8000000000000003,67.43,-2.6,993,6.4
2006,1,5,14,30,2.3000000000000003,68.06,-3,994,6.1000000000000005
2006,1,5,15,30,1.4000000000000001,71.75,-3.1,995,5.4
2006,1,5,16,30,0.5,76.83,-3.1,995,5
2006,1,5,17,30,0.2,77.86,-3.2,995,4.9
2006,1,5,18,30,-0.2,79.37,-3.3000000000000003,996,4.800000000000001
2006,1,5,19,30,-0.4,79.66,-3.5,996,4.7
2006,1,5,20,30,-0.6000000000000001,80.09,-3.6,996,4.7
2006,1,5,21,30,-0.8,80.38,-3.8000000000000003,996,4.9
2006,1,5,22,30,-1,80.73,-3.9000000000000004,997,5
2006,1,5,23,30,-1.4000000000000001,81.95,-4.1000000000000005,997,5
2006,1,6,0,30,-1.7000000000000002,82.65,-4.3,997,4.800000000000001
2006,1,6,1,30,-1.9000000000000001,82.53,-4.5,997,4.800000000000001
2006,1,6,2,30,-2.1,82.76,-4.6000000000000005,997,5
2006,1,6,3,30,-2.3000000000000003,83.01,-4.800000000000001,998,5
2006,1,6,4,30,-2.5,82.63,-5.1000000000000005,998,4.800000000000001
2006,1,6,5,30,-2.8000000000000003,82.63,-5.300000000000001,998,4.2
2006,1,6,6,30,-3,82.17,-5.6000000000000005,998,3.7
2006,1,6,7,30,-2.4000000000000004,77.84,-5.7,998,3.7
2006,1,6,8,30,-1.4000000000000001,68.44,-6.5,998,3.7
2006,1,6,9,30,-0.7000000000000001,61.800000000000004,-7.1000000000000005,998,3.2
2006,1,6,10,30,-0.30000000000000004,59.27,-7.300000000000001,997,2.8000000000000003
2006,1,6,11,30,0,58.120000000000005,-7.300000000000001,996,2.8000000000000003
2006,1,6,12,30,0.2,58.370000000000005,-7,995,3.2
2006,1,6,13,30,0.2,60.13,-6.6000000000000005,995,3.7
2006,1,6,14,30,0,63.36,-6.1000000000000005,995,3.9000000000000004
2006,1,6,15,30,-0.5,68.88,-5.5,994,3.8000000000000003
2006,1,6,16,30,-0.9,74.85000000000001,-4.800000000000001,994,4.1000000000000005
2006,1,6,17,30,-1,77.34,-4.5,993,4.5
2006,1,6,18,30,-1.2000000000000002,80,-4.2,992,5.4
2006,1,6,19,30,-1.4000000000000001,82.17,-4,991,5.9
2006,1,6,20,30,-1.5,82.69,-4.1000000000000005,989,6.4
2006,1,6,21,30,-1.7000000000000002,83.57000000000001,-4.1000000000000005,988,6.6000000000000005
2006,1,6,22,30,-1.6,83.16,-4.1000000000000005,987,6.9
2006,1,6,23,30,-1.3,82.37,-3.9000000000000004,986,7
2006,1,7,0,30,-1.1,82.62,-3.7,986,6.7
2006,1,7,1,30,-1.2000000000000002,84.02,-3.6,985,6.1000000000000005
2006,1,7,2,30,-1.5,85.96000000000001,-3.5,984,5.7
2006,1,7,3,30,-1.8,88.26,-3.5,984,5.4
2006,1,7,4,30,-2,90.38,-3.4000000000000004,984,5.2
2006,1,7,5,30,-2.1,91.86,-3.2,983,4.800000000000001
2006,1,7,6,30,-1.9000000000000001,91.66,-3.1,984,4.6000000000000005
2006,1,7,7,30,-1.2000000000000002,88.32000000000001,-2.9000000000000004,984,4.5
2006,1,7,8,30,0.1,82.51,-2.5,984,4.5
2006,1,7,9,30,1.5,77.62,-2,984,4.4
2006,1,7,10,30,2.8000000000000003,73.56,-1.5,984,4.5
2006,1,7,11,30,4.1000000000000005,68.84,-1.1,984,4.7
2006,1,7,12,30,4.9,65.25,-1.1,984,4.800000000000001
2006,1,7,13,30,5.1000000000000005,64.24,-1.1,984,4.4
2006,1,7,14,30,4.1000000000000005,69.4,-1,984,3.3000000000000003
2006,1,7,15,30,2.2,82.52,-0.5,985,2.3000000000000003
2006,1,7,16,30,0.9,86.29,-1.1,986,2
2006,1,7,17,30,0.6000000000000001,87.31,-1.3,986,2
2006,1,7,18,30,0.6000000000000001,87.16,-1.3,987,1.8
2006,1,7,19,30,0.6000000000000001,86.91,-1.3,987,1.6
2006,1,7,20,30,0.6000000000000001,86.65,-1.4000000000000001,987,1.4000000000000001
2006,1,7,21,30,0.6000000000000001,87.09,-1.3,987,1.2000000000000002
2006,1,7,22,30,0.4,88.27,-1.3,987,1.4000000000000001
2006,1,7,23,30,0.4,88.01,-1.4000000000000001,987,1.8
2006,1,8,0,30,0.6000000000000001,87.15,-1.3,987,2.4000000000000004
2006,1,8,1,30,0.8,86.84,-1.1,987,3.3000000000000003
2006,1,8,2,30,0.8,87.92,-1,986,4
2006,1,8,3,30,0.8,89.28,-0.8,985,4.6000000000000005
2006,1,8,4,30,0.8,90.57000000000001,-0.6000000000000001,984,5.4
2006,1,8,5,30,0.9,91.13,-0.4,983,6
2006,1,8,6,30,0.9,91.87,-0.30000000000000004,982,6.300000000000001
2006,1,8,7,30,1.2000000000000002,90.43,-0.2,982,6.7
2006,1,8,8,30,2.2,85.64,0,981,7.300000000000001
2006,1,8,9,30,3.5,79.73,0.30000000000000004,979,7.800000000000001
2006,1,8,10,30,4.9,74.69,0.8,978,7.300000000000001
2006,1,8,11,30,5.800000000000001,73.68,1.5,976,6.2
2006,1,8,12,30,6.300000000000001,74.31,2.1,976,4.9
2006,1,8,13,30,6.2,76.97,2.5,975,3.5
2006,1,8,14,30,5.4,84.52,3,976,2.3000000000000003
2006,1,8,15,30,4.1000000000000005,92.02,2.9000000000000004,976,1.7000000000000002
2006,1,8,16,30,3.4000000000000004,95.02,2.7,976,1.5
2006,1,8,17,30,3.4000000000000004,95.53,2.8000000000000003,976,1.4000000000000001
2006,1,8,18,30,3.3000000000000003,96.68,2.8000000000000003,977,1.1
2006,1,8,19,30,2.3000000000000003,100,2.3000000000000003,978,1.4000000000000001
2006,1,8,20,30,1.5,100,1.5,979,2.2
2006,1,8,21,30,1.3,100,1.3,981,3.3000000000000003
2006,1,8,22,30,1.4000000000000001,100,1.4000000000000001,982,4.2
2006,1,8,23,30,1.4000000000000001,100,1.4000000000000001,984,4.800000000000001
2006,1,9,0,30,1.1,99.75,1.1,986,5
2006,1,9,1,30,0.8,99.26,0.7000000000000001,989,4.9
2006,1,9,2,30,0.30000000000000004,99.87,0.30000000000000004,990,4.800000000000001
2006,1,9,3,30,-0.1,99.55,-0.2,992,4.6000000000000005
2006,1,9,4,30,-0.5,99.53,-0.6000000000000001,993,4.3
2006,1,9,5,30,-0.7000000000000001,98.48,-0.9,994,3.9000000000000004
2006,1,9,6,30,-0.8,97.4,-1.2000000000000002,996,3.6
2006,1,9,7,30,-0.30000000000000004,92.95,-1.3,997,3.7
2006,1,9,8,30,1.1,85.92,-1,999,4
2006,1,9,9,30,2.5,78.16,-0.9,1000,4.2
2006,1,9,10,30,3.2,72.66,-1.2000000000000002,1001,4.2
2006,1,9,11,30,3.4000000000000004,70.64,-1.4000000000000001,1001,4.2
2006,1,9,12,30,3.5,69.3,-1.6,1001,4.1000000000000005
2006,1,9,13,30,3.4000000000000004,69.42,-1.7000000000000002,1002,3.7
2006,1,9,14,30,2.8000000000000003,72.33,-1.7000000000000002,1003,2.9000000000000004
2006,1,9,15,30,1.4000000000000001,82.68,-1.2000000000000002,1003,2.2
2006,1,9,16,30,0.2,85.97,-1.9000000000000001,1004,2
2006,1,9,17,30,0,86.18,-2,1004,2
2006,1,9,18,30,-0.4,88.3,-2.1,1005,2
2006,1,9,19,30,-0.5,88.72,-2.1,1006,1.9000000000000001
2006,1,9,20,30,-0.7000000000000001,88.66,-2.3000000000000003,1006,1.7000000000000002
2006,1,9,21,30,-0.9,87.01,-2.8000000000000003,1006,1.6
2006,1,9,22,30,-0.9,85.04,-3.1,1006,1.4000000000000001
2006,1,9,23,30,-0.8,82.85000000000001,-3.4000000000000004,1006,1.2000000000000002
2006,1,10,0,30,-0.8,81.5,-3.6,1006,1
2006,1,10,1,30,-0.9,81.34,-3.7,1006,1
2006,1,10,2,30,-1.2000000000000002,83.16,-3.7,1006,1.2000000000000002
2006,1,10,3,30,-1.5,85.96000000000001,-3.5,1006,1.4000000000000001
2006,1,10,4,30,-1.7000000000000002,89.92,-3.1,1006,1.6
2006,1,10,5,30,-1.6,91.52,-2.8000000000000003,1005,1.7000000000000002
2006,1,10,6,30,-1.3,92.08,-2.4000000000000004,1005,2
2006,1,10,7,30,-0.5,89.54,-2,1005,2.9000000000000004
2006,1,10,8,30,0.7000000000000001,85.12,-1.5,1005,3.9000000000000004
2006,1,10,9,30,1.7000000000000002,79.48,-1.5,1004,4.6000000000000005
2006,1,10,10,30,2.3000000000000003,75.52,-1.6,1003,4.6000000000000005
2006,1,10,11,30,2.7,74.06,-1.5,1001,4.2
2006,1,10,12,30,3.1,72.87,-1.3,1000,3.9000000000000004
2006,1,10,13,30,3,74.35000000000001,-1.1,998,3.4000000000000004
2006,1,10,14,30,2.4000000000000004,79.81,-0.7000000000000001,997,3
2006,1,10,15,30,1.7000000000000002,85.81,-0.4,997,3
2006,1,10,16,30,1.5,87.86,-0.30000000000000004,996,3.3000000000000003
2006,1,10,17,30,1.6,89.94,0.1,996,3.6
2006,1,10,18,30,1.6,92.61,0.5,995,4
2006,1,10,19,30,1.5,94.83,0.8,993,4
2006,1,10,20,30,1.6,95.43,0.9,992,3.7
2006,1,10,21,30,1.6,96.55,1.1,991,3.5
2006,1,10,22,30,1.6,97.34,1.2000000000000002,990,3.6
2006,1,10,23,30,1.5,97.8,1.2000000000000002,989,3.7
2006,1,11,0,30,1.4000000000000001,98.94,1.3,988,3.5
2006,1,11,1,30,1.5,99.59,1.4000000000000001,988,3.2
